Entity,Code,Year,Oil Consumption - TWh
Asia,,1994,12348.587890625
Asia,,1995,13025.046875
Asia,,1996,13584.3447265625
Asia,,1997,14226.380859375
Asia,,1998,13953.072265625
Asia,,1999,14394.84765625
Asia,,2000,14903.107421875
Asia,,2001,15058.3505859375
Asia,,2002,15456.154296875
Asia,,2003,16080.263671875
Asia,,2004,17059.1640625
Asia,,2005,17239.044921875
Asia,,2006,17689.326171875
Asia,,2007,18248.25
Asia,,2008,18480.46484375
Asia,,2009,18629.806640625
Asia,,2010,19729.689453125
Asia,,2011,20295.57421875
Asia,,2012,21202.185546875
Asia,,2013,21588.267578125
Asia,,2014,21946.3671875
Asia,,2015,22738.82421875
Asia,,2016,23536.892578125
Asia,,2017,24108.03515625
Asia,,2018,24619.2109375
Asia,,2019,24867.578125
Asia,,2020,23417.275390625
Asia,,2021,24457.224609375
Asia Pacific (BP),,1965,1932.267822265625
Asia Pacific (BP),,1966,2202.67822265625
Asia Pacific (BP),,1967,2566.6279296875
Asia Pacific (BP),,1968,2932.802490234375
Asia Pacific (BP),,1969,3406.340576171875
Asia Pacific (BP),,1970,3952.282958984375
Asia Pacific (BP),,1971,4395.81396484375
Asia Pacific (BP),,1972,4737.7041015625
Asia Pacific (BP),,1973,5385.2841796875
Asia Pacific (BP),,1974,5350.23388671875
Asia Pacific (BP),,1975,5319.1279296875
Asia Pacific (BP),,1976,5660.66943359375
Asia Pacific (BP),,1977,5951.2060546875
Asia Pacific (BP),,1978,6319.11474609375
Asia Pacific (BP),,1979,6476.150390625
Asia Pacific (BP),,1980,6096.11279296875
Asia Pacific (BP),,1981,5921.8798828125
Asia Pacific (BP),,1982,5761.0556640625
Asia Pacific (BP),,1983,5803.59326171875
Asia Pacific (BP),,1984,6033.3076171875
Asia Pacific (BP),,1985,5978.92333984375
Asia Pacific (BP),,1986,6186.16943359375
Asia Pacific (BP),,1987,6384.78466796875
Asia Pacific (BP),,1988,6938.07666015625
Asia Pacific (BP),,1989,7364.8740234375
Asia Pacific (BP),,1990,7807.16552734375
Asia Pacific (BP),,1991,8135.384765625
Asia Pacific (BP),,1992,8695.5185546875
Asia Pacific (BP),,1993,9066.4375
Asia Pacific (BP),,1994,9584.1708984375
Asia Pacific (BP),,1995,10300.3720703125
Asia Pacific (BP),,1996,10829.74609375
Asia Pacific (BP),,1997,11356.099609375
Asia Pacific (BP),,1998,11107.4951171875
Asia Pacific (BP),,1999,11584.896484375
Asia Pacific (BP),,2000,11929.326171875
Asia Pacific (BP),,2001,12020.5361328125
Asia Pacific (BP),,2002,12328.798828125
Asia Pacific (BP),,2003,12837.09375
Asia Pacific (BP),,2004,13605.3564453125
Asia Pacific (BP),,2005,13662.4755859375
Asia Pacific (BP),,2006,13957.3876953125
Asia Pacific (BP),,2007,14412.3984375
Asia Pacific (BP),,2008,14399.2216796875
Asia Pacific (BP),,2009,14505.1201171875
Asia Pacific (BP),,2010,15475.634765625
Asia Pacific (BP),,2011,15864.7138671875
Asia Pacific (BP),,2012,16573.478515625
Asia Pacific (BP),,2013,16810.310546875
Asia Pacific (BP),,2014,17061.0859375
Asia Pacific (BP),,2015,17826.615234375
Asia Pacific (BP),,2016,18501.607421875
Asia Pacific (BP),,2017,19063.306640625
Asia Pacific (BP),,2018,19523.7265625
Asia Pacific (BP),,2019,19858.015625
Asia Pacific (BP),,2020,18776.1171875
Asia Pacific (BP),,2021,19624.0703125
Australia,AUS,1965,200.0193634033203
Australia,AUS,1966,214.04754638671875
Australia,AUS,1967,234.3877716064453
Australia,AUS,1968,255.2849884033203
Australia,AUS,1969,262.4481201171875
Australia,AUS,1970,290.1954345703125
Australia,AUS,1971,305.5445556640625
Australia,AUS,1972,311.0333557128906
Australia,AUS,1973,331.8929443359375
Australia,AUS,1974,351.73516845703125
Australia,AUS,1975,348.1045227050781
Australia,AUS,1976,355.82147216796875
Australia,AUS,1977,372.60076904296875
Australia,AUS,1978,380.9466857910156
Australia,AUS,1979,385.914794921875
Australia,AUS,1980,367.7676086425781
Australia,AUS,1981,362.4183349609375
Australia,AUS,1982,356.84918212890625
Australia,AUS,1983,320.0834655761719
Australia,AUS,1984,330.97894287109375
Australia,AUS,1985,332.8008117675781
Australia,AUS,1986,328.14703369140625
Australia,AUS,1987,336.6698913574219
Australia,AUS,1988,351.9731140136719
Australia,AUS,1989,366.5162048339844
Australia,AUS,1990,374.8846130371094
Australia,AUS,1991,362.6208190917969
Australia,AUS,1992,370.54693603515625
Australia,AUS,1993,382.05194091796875
Australia,AUS,1994,395.58917236328125
Australia,AUS,1995,427.7774963378906
Australia,AUS,1996,439.0154113769531
Australia,AUS,1997,446.057861328125
Australia,AUS,1998,445.9702453613281
Australia,AUS,1999,456.1539611816406
Australia,AUS,2000,455.9815673828125
Australia,AUS,2001,457.0853576660156
Australia,AUS,2002,461.9748229980469
Australia,AUS,2003,460.2599182128906
Australia,AUS,2004,471.29571533203125
Australia,AUS,2005,478.7018737792969
Australia,AUS,2006,493.6418151855469
Australia,AUS,2007,506.2702941894531
Australia,AUS,2008,512.7159423828125
Australia,AUS,2009,504.1407775878906
Australia,AUS,2010,519.3068237304688
Australia,AUS,2011,547.060302734375
Australia,AUS,2012,561.4190673828125
Australia,AUS,2013,578.0370483398438
Australia,AUS,2014,575.42822265625
Australia,AUS,2015,570.57861328125
Australia,AUS,2016,571.7230224609375
Australia,AUS,2017,599.5797729492188
Australia,AUS,2018,610.1112060546875
Australia,AUS,2019,604.1944580078125
Australia,AUS,2020,522.167236328125
Australia,AUS,2021,536.3489990234375
Austria,AUT,1965,65.29747772216797
Austria,AUT,1966,71.78885650634766
Austria,AUT,1967,76.54811096191406
Austria,AUT,1968,88.466064453125
Austria,AUT,1969,97.22599792480469
Austria,AUT,1970,107.04364776611328
Austria,AUT,1971,119.60702514648438
Austria,AUT,1972,129.1228790283203
Austria,AUT,1973,139.9278106689453
Austria,AUT,1974,125.22767639160156
Austria,AUT,1975,126.55925750732422
Austria,AUT,1976,137.4113311767578
Austria,AUT,1977,131.5865478515625
Austria,AUT,1978,141.5697021484375
Austria,AUT,1979,147.4087677001953
Austria,AUT,1980,143.887451171875
Austria,AUT,1981,130.63088989257812
Austria,AUT,1982,123.90078735351562
Austria,AUT,1983,120.07978820800781
Austria,AUT,1984,116.7984619140625
Austria,AUT,1985,116.98592376708984
Austria,AUT,1986,123.21829986572266
Austria,AUT,1987,126.86034393310547
Austria,AUT,1988,125.97797393798828
Austria,AUT,1989,124.22220611572266
Austria,AUT,1990,128.69969177246094
Austria,AUT,1991,138.90469360351562
Austria,AUT,1992,135.22689819335938
Austria,AUT,1993,136.3634033203125
Austria,AUT,1994,135.2360076904297
Austria,AUT,1995,134.86181640625
Austria,AUT,1996,139.53622436523438
Austria,AUT,1997,141.7309112548828
Austria,AUT,1998,147.1767120361328
Austria,AUT,1999,144.65130615234375
Austria,AUT,2000,141.7493438720703
Austria,AUT,2001,153.68556213378906
Austria,AUT,2002,156.81979370117188
Austria,AUT,2003,169.93641662597656
Austria,AUT,2004,165.3283233642578
Austria,AUT,2005,164.6262664794922
Austria,AUT,2006,164.50961303710938
Austria,AUT,2007,154.65794372558594
Austria,AUT,2008,153.2102508544922
Austria,AUT,2009,145.4496612548828
Austria,AUT,2010,151.91781616210938
Austria,AUT,2011,141.77455139160156
Austria,AUT,2012,141.63540649414062
Austria,AUT,2013,146.1486053466797
Austria,AUT,2014,140.1568603515625
Austria,AUT,2015,139.68252563476562
Austria,AUT,2016,144.47369384765625
Austria,AUT,2017,146.3458709716797
Austria,AUT,2018,147.7633819580078
Austria,AUT,2019,152.830810546875
Austria,AUT,2020,132.90390014648438
Austria,AUT,2021,136.1481170654297
Azerbaijan,AZE,1985,97.185546875
Azerbaijan,AZE,1986,101.81736755371094
Azerbaijan,AZE,1987,95.82691192626953
Azerbaijan,AZE,1988,98.14324951171875
Azerbaijan,AZE,1989,95.70121765136719
Azerbaijan,AZE,1990,100.39482879638672
Azerbaijan,AZE,1991,96.8011245727539
Azerbaijan,AZE,1992,94.31946563720703
Azerbaijan,AZE,1993,94.05540466308594
Azerbaijan,AZE,1994,86.15902709960938
Azerbaijan,AZE,1995,77.67720031738281
Azerbaijan,AZE,1996,69.77202606201172
Azerbaijan,AZE,1997,66.4026870727539
Azerbaijan,AZE,1998,69.87349700927734
Azerbaijan,AZE,1999,66.98869323730469
Azerbaijan,AZE,2000,74.26630401611328
Azerbaijan,AZE,2001,47.27033996582031
Azerbaijan,AZE,2002,43.519466400146484
Azerbaijan,AZE,2003,50.599693298339844
Azerbaijan,AZE,2004,54.57310485839844
Azerbaijan,AZE,2005,63.79851150512695
Azerbaijan,AZE,2006,57.112579345703125
Azerbaijan,AZE,2007,53.8548583984375
Azerbaijan,AZE,2008,43.055694580078125
Azerbaijan,AZE,2009,40.150047302246094
Azerbaijan,AZE,2010,39.63645553588867
Azerbaijan,AZE,2011,48.581573486328125
Azerbaijan,AZE,2012,50.81020736694336
Azerbaijan,AZE,2013,55.304141998291016
Azerbaijan,AZE,2014,54.294158935546875
Azerbaijan,AZE,2015,55.10190200805664
Azerbaijan,AZE,2016,54.73497772216797
Azerbaijan,AZE,2017,55.22210693359375
Azerbaijan,AZE,2018,57.87641906738281
Azerbaijan,AZE,2019,57.922218322753906
Azerbaijan,AZE,2020,50.202335357666016
Azerbaijan,AZE,2021,51.99831771850586
Bangladesh,BGD,1971,8.135292053222656
Bangladesh,BGD,1972,9.919017791748047
Bangladesh,BGD,1973,11.208105087280273
Bangladesh,BGD,1974,11.659564018249512
Bangladesh,BGD,1975,13.631794929504395
Bangladesh,BGD,1976,14.748875617980957
Bangladesh,BGD,1977,14.522806167602539
Bangladesh,BGD,1978,15.460121154785156
Bangladesh,BGD,1979,17.112337112426758
Bangladesh,BGD,1980,19.29100227355957
Bangladesh,BGD,1981,19.892940521240234
Bangladesh,BGD,1982,19.621322631835938
Bangladesh,BGD,1983,17.547494888305664
Bangladesh,BGD,1984,17.682052612304688
Bangladesh,BGD,1985,19.738765716552734
Bangladesh,BGD,1986,21.275487899780273
Bangladesh,BGD,1987,20.945486068725586
Bangladesh,BGD,1988,20.984262466430664
Bangladesh,BGD,1989,22.941953659057617
Bangladesh,BGD,1990,22.22782325744629
Bangladesh,BGD,1991,20.622859954833984
Bangladesh,BGD,1992,23.004262924194336
Bangladesh,BGD,1993,25.769168853759766
Bangladesh,BGD,1994,26.856830596923828
Bangladesh,BGD,1995,34.853485107421875
Bangladesh,BGD,1996,35.606483459472656
Bangladesh,BGD,1997,40.87693786621094
Bangladesh,BGD,1998,45.05575180053711
Bangladesh,BGD,1999,40.1838493347168
Bangladesh,BGD,2000,39.48772430419922
Bangladesh,BGD,2001,47.1667366027832
Bangladesh,BGD,2002,47.36441421508789
Bangladesh,BGD,2003,49.0964241027832
Bangladesh,BGD,2004,46.32942199707031
Bangladesh,BGD,2005,46.62285614013672
Bangladesh,BGD,2006,47.122962951660156
Bangladesh,BGD,2007,44.55946731567383
Bangladesh,BGD,2008,45.27263259887695
Bangladesh,BGD,2009,42.331520080566406
Bangladesh,BGD,2010,47.160892486572266
Bangladesh,BGD,2011,60.942405700683594
Bangladesh,BGD,2012,65.03846740722656
Bangladesh,BGD,2013,63.67340087890625
Bangladesh,BGD,2014,71.49221801757812
Bangladesh,BGD,2015,75.66558837890625
Bangladesh,BGD,2016,82.81022644042969
Bangladesh,BGD,2017,93.05943298339844
Bangladesh,BGD,2018,105.75358581542969
Bangladesh,BGD,2019,101.6410140991211
Bangladesh,BGD,2020,93.22622680664062
Bangladesh,BGD,2021,106.9151611328125
Belarus,BLR,1985,296.3403625488281
Belarus,BLR,1986,350.1186218261719
Belarus,BLR,1987,346.3062438964844
Belarus,BLR,1988,335.4691467285156
Belarus,BLR,1989,314.12689208984375
Belarus,BLR,1990,311.87811279296875
Belarus,BLR,1991,306.03106689453125
Belarus,BLR,1992,226.37693786621094
Belarus,BLR,1993,174.4330291748047
Belarus,BLR,1994,142.50796508789062
Belarus,BLR,1995,124.31670379638672
Belarus,BLR,1996,122.27396392822266
Belarus,BLR,1997,107.04148864746094
Belarus,BLR,1998,101.1133041381836
Belarus,BLR,1999,92.49212646484375
Belarus,BLR,2000,91.47250366210938
Belarus,BLR,2001,88.497802734375
Belarus,BLR,2002,93.17626953125
Belarus,BLR,2003,94.32166290283203
Belarus,BLR,2004,92.41300964355469
Belarus,BLR,2005,86.03789520263672
Belarus,BLR,2006,100.9452133178711
Belarus,BLR,2007,91.83182525634766
Belarus,BLR,2008,91.4128189086914
Belarus,BLR,2009,105.50956726074219
Belarus,BLR,2010,90.67101287841797
Belarus,BLR,2011,98.70365142822266
Belarus,BLR,2012,121.14087677001953
Belarus,BLR,2013,91.42749786376953
Belarus,BLR,2014,93.14555358886719
Belarus,BLR,2015,78.47293853759766
Belarus,BLR,2016,84.34799194335938
Belarus,BLR,2017,83.86935424804688
Belarus,BLR,2018,97.49809265136719
Belarus,BLR,2019,99.36329650878906
Belarus,BLR,2020,95.68990325927734
Belarus,BLR,2021,90.80558013916016
Belgium,BEL,1965,188.46475219726562
Belgium,BEL,1966,192.26031494140625
Belgium,BEL,1967,212.03164672851562
Belgium,BEL,1968,246.15921020507812
Belgium,BEL,1969,284.0069580078125
Belgium,BEL,1970,309.8156433105469
Belgium,BEL,1971,317.5064392089844
Belgium,BEL,1972,343.47247314453125
Belgium,BEL,1973,360.6343078613281
Belgium,BEL,1974,317.68402099609375
Belgium,BEL,1975,301.4897155761719
Belgium,BEL,1976,314.48248291015625
Belgium,BEL,1977,309.3097229003906
Belgium,BEL,1978,330.0505065917969
Belgium,BEL,1979,328.017333984375
Belgium,BEL,1980,303.17266845703125
Belgium,BEL,1981,277.8809509277344
Belgium,BEL,1982,263.1249084472656
Belgium,BEL,1983,238.75550842285156
Belgium,BEL,1984,231.0120849609375
Belgium,BEL,1985,234.4788818359375
Belgium,BEL,1986,264.9442138671875
Belgium,BEL,1987,266.848388671875
Belgium,BEL,1988,275.2270812988281
Belgium,BEL,1989,270.3055419921875
Belgium,BEL,1990,279.09063720703125
Belgium,BEL,1991,299.2667541503906
Belgium,BEL,1992,305.27349853515625
Belgium,BEL,1993,300.30596923828125
Belgium,BEL,1994,326.46331787109375
Belgium,BEL,1995,325.265869140625
Belgium,BEL,1996,352.2537536621094
Belgium,BEL,1997,360.93060302734375
Belgium,BEL,1998,365.9429931640625
Belgium,BEL,1999,353.8124694824219
Belgium,BEL,2000,359.53515625
Belgium,BEL,2001,365.03631591796875
Belgium,BEL,2002,366.5633544921875
Belgium,BEL,2003,387.4156494140625
Belgium,BEL,2004,392.12158203125
Belgium,BEL,2005,389.9864501953125
Belgium,BEL,2006,388.7427673339844
Belgium,BEL,2007,392.6291809082031
Belgium,BEL,2008,411.8414001464844
Belgium,BEL,2009,370.54595947265625
Belgium,BEL,2010,383.9372253417969
Belgium,BEL,2011,359.41571044921875
Belgium,BEL,2012,345.7088928222656
Belgium,BEL,2013,355.9119567871094
Belgium,BEL,2014,349.88616943359375
