Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,CAN,Trade (% of GDP),NE.TRD.GNFS.ZS,,"35,90078147","35,60278527","35,41836266","37,09608254","36,98539632","38,40814908","39,23638685","40,85157035","42,02169374","41,63208305","40,8240517","41,9900954","44,43751018","48,24652081","46,0101635","44,41449449","45,91255999","49,00909768","52,41406138","53,4976285","52,27813173","46,78558224","46,88973554","52,6754345","53,0490388","53,28572791","51,08073422","51,57086552","50,25768804","50,17510898","49,40086063","52,9160539","58,44081718","64,59258753","69,28235298","70,49052359","74,33661008","78,08118536","80,11502931","82,76535785","78,34421839","75,70703208","69,84009462","70,19241999","69,75913302","68,05216448","66,28341975","67,02360836","58,47439182","60,2081215","62,49873877","62,59554894","62,2310749","64,37866216","66,16490207","65,36368452","65,10106085","66,58185309","65,42883752","59,96330908"
China,CHN,Trade (% of GDP),NE.TRD.GNFS.ZS,"8,734099721","7,360220725","6,960936156","6,865336858","6,633104293","6,828143022","6,729496479","6,253483447","6,220973568","5,453062889","4,952406018","4,920835199","5,755367497","8,000145127","10,33348658","9,554202994","8,836913605","8,384615385","9,650141541","11,08657813","12,42484853","14,89718198","19,69296831","17,92110271","19,03261174","20,71285501","19,88147995","24,85766508","30,06477059","25,1056952","24,27313211","25,9497241","30,14571645","36,05607787","35,76981499","34,27409603","33,81474547","34,53301736","32,42469627","33,52456673","39,41053879","38,52735928","42,74740363","51,803988","59,50552422","62,20789287","64,4788839","62,19336348","57,61271534","45,18487038","50,71707766","50,74090459","48,26752237","46,74437558","44,90521595","39,46416934","36,89441502","37,63241324","37,45624357","35,83741382","34,50688786"
Germany,DEU,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,"31,71070871","30,84376047","30,73271371","31,70321688","36,95292096","35,9068478","38,37014055","38,10396052","37,18059282","39,22457336","41,85407079","44,18312265","44,38786378","43,57557266","46,24265591","47,91535017","42,94463146","41,68947006","42,52652389","45,21591807","45,86358758","47,81737924","44,89083816","40,57673526","42,05788309","43,58163421","45,00562096","49,64265864","51,58497235","53,36584963","61,526061","62,06283889","60,93488981","61,84931971","66,22619911","70,91871294","77,44972915","79,8744174","81,52480473","71,2287129","79,86862424","85,20612127","86,51405488","85,0788767","84,62009339","86,24622461","84,76964597","87,23720295","88,43440642","87,59966603","81,10854743"
France,FRA,Trade (% of GDP),NE.TRD.GNFS.ZS,"27,19391895","26,67454456","25,13443222","25,15910587","26,00522931","25,95456806","26,58343998","26,60673404","26,94532314","28,99275582","31,41895655","32,00895914","32,47042885","34,40597231","42,35576762","36,69173634","39,59987088","40,63596984","39,43834889","41,03362547","43,50266729","45,41094346","45,25238528","45,13982832","47,54182991","47,01638799","40,88799847","40,29273946","41,39221694","44,00178113","42,73605519","42,98368149","41,99161261","39,90512372","41,82623974","43,64612858","44,32923995","48,03349688","49,50676679","49,7609206","55,86124572","54,95936809","53,07202476","50,79783352","51,92500788","53,98070678","56,10342445","56,42075658","57,39708289","50,46245085","54,86779108","58,79057642","59,70205917","59,76405507","60,47879652","61,75169393","61,10014238","62,96184729","64,4379526","64,14147319","57,76742833"
United Kingdom,GBR,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,"42,76799324","42,41283602","41,36067535","47,20485533","58,45240919","52,48418471","57,11807261","58,60987627","54,68142359","54,36428823","51,02143877","49,10885408","49,33543862","50,53412869","55,11020505","54,64858033","50,25911175","49,6314897","47,12395074","48,43573163","48,00055776","45,07375387","46,0606421","49,48233023","51,60677889","50,83658656","52,13217748","50,68085106","48,97623157","49,30396864","52,17830094","52,66419238","51,13882548","50,08820336","50,15381883","52,55850881","56,67744824","52,76650378","56,27566054","54,39883294","58,43793411","62,38126762","61,21289659","61,14497488","57,94827505","56,00026255","58,28455436","61,66142278","62,97012035","63,39734158","55,09050732"
India,IND,Trade (% of GDP),NE.TRD.GNFS.ZS,"11,29683311","10,26116259","10,20079018","10,18733784","9,41054892","8,51903437","10,81423751","9,981062668","8,981744476","7,744776644","7,661769338","7,669606558","7,736399597","8,932096019","10,85189025","12,29397821","12,80120307","12,64810114","12,90301184","14,91880453","15,38457685","14,50726476","14,12592775","13,69059389","14,00937594","12,90003619","12,2192719","12,58481404","13,49045012","15,16813209","15,50626151","16,98772655","18,43309904","19,65153979","20,07814438","22,86744871","21,92948787","22,61938687","23,69947008","24,81559804","26,90092291","25,99325475","29,50866294","30,59243613","37,50381406","42,00166962","45,7244805","45,68626868","53,36822044","46,27286964","49,2552065","55,62388001","55,79372173","53,84413195","48,92218575","41,92291387","40,08248571","40,74249695","43,59865716","39,38677104","36,46988337"
Italy,ITA,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,"30,09884601","30,39608987","31,82280786","34,06466664","40,80289482","37,4004476","41,19215194","41,80955686","41,26818814","43,71041919","42,97265632","45,282038","43,50828909","40,18969388","42,43566737","42,63715502","36,16334691","35,56260867","35,11110157","37,05276938","36,3217494","33,8784373","34,91371162","37,7592292","40,45502883","45,68455417","42,87869833","44,58850598","45,09273823","44,6207908","50,40558983","50,03480463","48,0579243","46,14884478","47,43033039","49,30101076","53,16817918","55,06145563","54,4928758","45,41876179","52,00618837","55,14552246","55,65472084","54,8675794","55,32211515","56,41817616","55,36760281","58,60417595","60,29760451","60,1080884","55,31802623"
Japan,JPN,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,"19,56614483","19,91811694","18,14516424","19,29813148","26,90435478","24,59797161","25,32626223","23,62908669","19,72730728","23,14407548","27,22776168","27,62883852","27,29321047","25,06011604","26,34058375","24,59599743","18,15109001","17,10636402","17,18538751","18,87221231","19,66274882","18,07394251","17,32980403","16,01387871","15,81030623","16,39010493","18,25386823","19,78351762","19,00318622","18,12563072","19,56237158","19,55960447","20,44712207","21,32612527","23,66435342","26,22995458","30,0163761","32,81657805","34,12947654","24,39016653","28,49847269","30,19496073","30,47091092","33,97876865","37,43143457","35,42740835","31,31024685","34,42321357","36,63892673","34,76097829",
"Korea, Rep.",KOR,Trade (% of GDP),NE.TRD.GNFS.ZS,"14,6001761","18,0019225","19,46919587","18,60030084","17,34263465","21,45924295","26,65960021","28,79219257","32,77748243","33,06066002","32,56096689","35,68935428","38,04156806","51,5785284","55,53067679","53,98156227","53,88038251","53,92544107","54,2177344","54,5445848","65,53086084","67,13133534","60,22891915","57,91222398","57,36780025","52,65704978","60,10702446","63,00015284","58,70363787","52,91365956","50,75031338","49,82507915","48,75942564","46,91867823","48,66598979","52,46402196","52,65397293","57,52303775","68,49747206","59,76275376","66,09516011","62,22379722","58,3530394","61,17460128","70,01571487","68,32481102","70,65187353","73,87452529","95,51635243","86,13361937","91,3995965","105,5663136","105,4583277","97,95210495","90,6144419","79,13249439","73,60380947","77,12091781","78,98886551","76,99642931","70,07837916"
United States,USA,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,"10,7582854","10,75717904","11,34061965","13,07921559","16,44498632","15,51637363","16,04884564","16,41789468","16,97283423","18,3761632","20,10984469","19,42591317","17,53681228","16,66559348","17,52240742","16,60390613","16,89797715","17,97358098","19,07010071","19,41512839","19,81505058","19,78644812","19,9505945","20,0446187","21,05545916","22,45338165","22,68707199","23,42832109","22,82589095","23,31479899","25,09957364","22,96741656","22,27148565","22,62375481","24,45499621","25,64358562","26,97718299","28,05537403","29,98353666","24,80945128","28,3270215","30,95588801","30,78974339","30,10665119","30,03824858","27,76300884","26,51613193","27,15782968","27,47548132","26,29430279","23,39447188"
